Datetime,Open Time,Open,High,Low,Close,Volume,Close Time,Quote asset volume,Number of Trades,Taker Volume,Maker Volume,Nothing,Date
2024-05-27 21:45:00,1716846300000,170.23,170.3,170.05,170.07,2551.26000000,1716846599999,434288.19449000,733,1284.64000000,218685.96237000,0,1716846300000
2024-05-27 21:50:00,1716846600000,170.06,170.53,170.06,170.53,4882.34200000,1716846899999,831426.91901000,1003,2271.46200000,386821.02777000,0,1716846600000
2024-05-27 21:55:00,1716846900000,170.53,170.85,170.5,170.58,4245.76100000,1716847199999,724791.13813000,957,3258.22400000,556257.93809000,0,1716846900000
2024-05-27 22:00:00,1716847200000,170.59,170.65,170.17,170.57,10074.03400000,1716847499999,1716037.55607000,1584,5550.71600000,945438.19653000,0,1716847200000
2024-05-27 22:05:00,1716847500000,170.58,170.78,170.52,170.63,4902.17900000,1716847799999,836379.82262000,945,3544.09100000,604671.94270000,0,1716847500000
2024-05-27 22:10:00,1716847800000,170.64,171.53,170.64,170.9,11268.06800000,1716848099999,1928674.66982000,2756,6817.47000000,1167000.54114000,0,1716847800000
2024-05-27 22:15:00,1716848100000,170.91,171.02,170.6,170.97,5910.08800000,1716848399999,1009308.78446000,1129,3181.14200000,543232.36866000,0,1716848100000
2024-05-27 22:20:00,1716848400000,170.96,171.3,170.78,170.78,8173.35200000,1716848699999,1398083.35477000,1407,3714.43900000,635454.41169000,0,1716848400000
2024-05-27 22:25:00,1716848700000,170.79,171.16,170.69,171.11,6311.32100000,1716848999999,1078956.27452000,1115,4705.01400000,804416.27625000,0,1716848700000
2024-05-27 22:30:00,1716849000000,171.11,171.43,170.93,171.35,5485.43800000,1716849299999,939030.64057000,1290,3316.76800000,567736.43779000,0,1716849000000
2024-05-27 22:35:00,1716849300000,171.35,171.67,171.07,171.49,8511.85400000,1716849599999,1458874.09069000,1752,4894.18500000,838975.29158000,0,1716849300000
2024-05-27 22:40:00,1716849600000,171.5,171.54,171.04,171.05,5700.84300000,1716849899999,976136.56830000,1084,1848.13100000,316404.93661000,0,1716849600000
2024-05-27 22:45:00,1716849900000,171.04,171.24,170.83,171.08,4796.24100000,1716850199999,820167.36734000,1134,2431.32000000,415763.52950000,0,1716849900000
2024-05-27 22:50:00,1716850200000,171.07,171.39,170.94,171.21,4301.01300000,1716850499999,736461.16021000,1028,1578.30000000,270235.91774000,0,1716850200000
2024-05-27 22:55:00,1716850500000,171.22,171.33,171.13,171.15,4780.88600000,1716850799999,818684.59185000,841,1464.46200000,250780.28948000,0,1716850500000
2024-05-27 23:00:00,1716850800000,171.15,171.15,170.7,170.81,10183.68000000,1716851099999,1739470.08763000,1548,2066.08400000,352921.81441000,0,1716850800000
2024-05-27 23:05:00,1716851100000,170.82,171.0,170.67,171.0,6787.71200000,1716851399999,1159459.94906000,1267,3579.63100000,611453.75934000,0,1716851100000
2024-05-27 23:10:00,1716851400000,171.0,171.02,170.62,170.91,7386.33500000,1716851699999,1261885.11150000,1270,2804.86700000,479159.12530000,0,1716851400000
2024-05-27 23:15:00,1716851700000,170.9,170.9,170.59,170.64,6188.58600000,1716851999999,1056410.55271000,1108,1251.73800000,213667.93915000,0,1716851700000
2024-05-27 23:20:00,1716852000000,170.64,170.68,170.19,170.2,4656.32000000,1716852299999,793952.97462000,1332,978.86000000,166930.78327000,0,1716852000000
2024-05-27 23:25:00,1716852300000,170.2,170.3,169.9,169.93,6491.95400000,1716852599999,1104157.10362000,1768,2629.75000000,447332.82733000,0,1716852300000
2024-05-27 23:30:00,1716852600000,169.93,170.04,169.53,169.63,9320.65000000,1716852899999,1582359.28484000,2368,4016.11700000,681819.69681000,0,1716852600000
2024-05-27 23:35:00,1716852900000,169.62,169.74,169.06,169.1,9450.32500000,1716853199999,1600199.97668000,2617,3061.32300000,518346.15884000,0,1716852900000
2024-05-27 23:40:00,1716853200000,169.11,169.58,169.03,169.39,8075.36400000,1716853499999,1366854.88998000,1623,3856.74200000,652878.96561000,0,1716853200000
2024-05-27 23:45:00,1716853500000,169.4,170.02,169.4,169.97,9068.36200000,1716853799999,1539589.08440000,1841,6350.93700000,1078180.43383000,0,1716853500000
2024-05-27 23:50:00,1716853800000,169.97,170.12,169.74,169.8,3801.68700000,1716854099999,645987.45038000,1019,1750.89400000,297440.20494000,0,1716853800000
2024-05-27 23:55:00,1716854100000,169.8,170.29,169.79,170.15,4615.30200000,1716854399999,784885.15316000,948,3179.55400000,540761.15882000,0,1716854100000
2024-05-28 00:00:00,1716854400000,170.15,170.17,169.69,169.94,6060.82600000,1716854699999,1029931.66989000,1440,3008.47100000,511221.30266000,0,1716854400000
2024-05-28 00:05:00,1716854700000,169.94,170.35,169.9,170.07,10301.56800000,1716854999999,1752101.99746000,1926,5220.36100000,887798.16031000,0,1716854700000
